future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
0,7,1,44,20,20,5,4,10,32,30,30,946,224,2948,658,4 3 3 3 2
1,3,1,11,16,16,4,4,9,18,12,12,55,8,144,18,4 3 3 3 1
2,2,1,8,16,16,4,3,7,6,4,4,28,1,60,4,3 3 2 3 1
3,1,0,5,16,8,4,2,4,2,0,0,10,0,20,0,2 2 2 2 1
4,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
6,1,0,6,19,15,4,2,4,2,0,0,15,0,30,0,1 2 2 2 2
8,1,0,2,15,7,2,2,2,2,0,0,1,0,2,0,1 1 2 2 1
9,1,0,14,19,19,5,4,9,8,0,0,91,0,188,0,4 3 3 2 2
10,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
11,2,1,4,19,12,3,2,3,10,2,2,6,1,20,2,2 2 2 1 1
12,2,1,5,16,13,4,2,4,12,8,8,10,3,30,8,2 2 2 1 2
13,1,0,7,12,12,3,2,3,10,0,0,21,0,170,0,2 2 2 1 1
14,1,0,2,12,1,1,2,1,2,0,0,1,0,2,0,1 1 2 1 1
15,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
16,1,0,3,16,12,3,3,4,2,0,0,3,0,6,0,1 2 3 1 2
18,1,0,2,12,1,1,2,1,2,0,0,1,0,2,0,1 1 2 1 1
20,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
21,2,1,7,16,12,3,4,6,12,4,4,21,3,70,6,4 3 2 1 1
23,1,0,7,16,16,4,3,6,2,0,0,21,0,42,0,3 2 3 1 2
24,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
25,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
27,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
28,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
29,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
31,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
32,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
33,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
34,2,1,4,16,16,4,2,4,10,4,4,6,2,24,6,2 2 2 1 2
35,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
